OBJECTID,sug,nashir,gil,koter,status,sivug,water,hibur,X,Y,X_google,Y_google
31175,,,,,,,,,178707.039,572922.001,34.77666177,31.24716459
31176,,,,,,,,,178715.175,572921.905,34.77674718,31.247164
31177,,,,,,,,,178809.655,572916.969,34.77773918,31.24712278
31178,,,,,,,,,178724.183,572825.577,34.77684566,31.24629555
31179,,,,,,,,,178724.167,572821.521,34.77684565,31.24625896
31180,,,,,,,,,178716.511,572822.777,34.77676523,31.24627003
31181,,,,,,,,,178715.247,572817.033,34.7767522,31.24621818
31182,,,,,,,,,178722.759,572816.209,34.77683109,31.24621101
31183,,,,,,,,,178726.663,572839.353,34.77687113,31.24641988
31184,,,,,,,,,178717.759,572841.649,34.77677757,31.24644027
31185,,,,,,,,,178717.679,572837.401,34.7767769,31.24640196
31186,,,,,,,,,178736.671,572839.337,34.77697619,31.24642008
31187,,,,,,,,,178731.159,572851.745,34.77691782,31.2465318
31188,,,,,,,,,178732.679,572860.857,34.77693341,31.24661403
31189,,,,,,,,,178738.103,572869.529,34.77698999,31.24669243
31190,,,,,,,,,178739.767,572879.729,34.77700705,31.24678448
31191,,,,,,,,,178740.663,572888.041,34.77701612,31.24685948
31192,,,,,,,,,178750.423,572886.161,34.77711865,31.24684286
31193,,,,,,,,,178723.255,572859.377,34.77683454,31.24660035
31194,,,,,,,,,178724.991,572865.561,34.77685251,31.24665619
31195,,,,,,,,,178787.879,572819.409,34.77751455,31.24624214
31196,,,,,,,,,178788.199,572821.937,34.7775178,31.24626495
31197,,,,,,,,,178778.391,572820.801,34.77741489,31.24625436
31198,,,,,,,,,178766.807,572821.817,34.77729325,31.24626312
31199,,,,,,,,,178768.287,572825.577,34.77730863,31.24629708
31200,,,,,,,,,178769.071,572840.081,34.77731627,31.24642792
31201,,,,,,,,,178796.063,572836.969,34.77759975,31.2464008
31202,,,,,,,,,178863.095,572851.585,34.77830282,31.24653495
31203,,,,,,,,,178697.637,573026.827,34.77655881,31.24810967
31204,,,,,,,,,178718.201,572956.371,34.77677754,31.24747496
31205,,,,,,,,,178719.601,572948.449,34.77679256,31.24740356
31206,,,,,,,,,178712.238,572953.466,34.77671507,31.24744855
31207,,,,,,,,,178541.39,572812.728,34.77492733,31.24617327
31208,,,,,,,,,178526.734,572818.856,34.77477323,31.24622802
31209,,,,,,,,,178518.806,572818.896,34.77469001,31.2462281
31210,,,,,,,,,178509.998,572820.752,34.77459747,31.24624453
31211,,,,,,,,,178625.565,573156.398,34.77579695,31.24927574
31212,,,,,,,,,178613.781,573144.222,34.77567374,31.24916552
31213,,,,,,,,,178607.821,573149.678,34.77561095,31.24921451
31214,,,,,,,,,178601.989,573154.894,34.77554952,31.24926135
31215,,,,,,,,,178596.861,573182.542,34.77549456,31.24951053
31216,,,,,,,,,178509.558,572907.791,34.77458929,31.24702951
31217,,,,,,,,,178537.438,572888.319,34.77488276,31.24685488
31218,,,,,,,,,178540.278,572893.775,34.77491235,31.24690418
31219,,,,,,,,,178505.806,572898.671,34.77455028,31.24694713
31220,,,,,,,,,178543.102,572959.895,34.7749393,31.24750061
31221,,,,,,,,,178542.302,572949.231,34.77493133,31.24740441
31222,,,,,,,,,178533.206,572935.735,34.7748364,31.24728237
31223,,,,,,,,,178531.086,572930.079,34.77481437,31.24723128
31224,,,,,,,,,178537.742,572901.375,34.77488542,31.24697264
31225,,,,,,,,,178537.382,572905.575,34.77488147,31.2470105
31226,,,,,,,,,178544.214,572954.223,34.7749512,31.2474495
31227,,,,,,,,,178543.734,572965.623,34.7749457,31.24755229
31228,,,,,,,,,178545.998,572972.103,34.7749692,31.24761082
31229,,,,,,,,,178551.134,573005.079,34.77502177,31.2479084
31230,,,,,,,,,178561.126,572996.615,34.775127,31.24783242
31231,,,,,,,,,178569.078,572994.967,34.77521055,31.24781783
31232,,,,,,,,,178588.95,572992.383,34.77541926,31.24779523
31233,,,,,,,,,178610.958,573004.223,34.77564981,31.24790278
31234,,,,,,,,,178604.43,573017.767,34.77558073,31.2480247
31235,,,,,,,,,178617.046,573013.903,34.77571332,31.2479903
31236,,,,,,,,,178636.942,573006.343,34.77592249,31.24792281
31237,,,,,,,,,178590.462,572982.655,34.77543553,31.24770754
31238,,,,,,,,,178595.39,572978.655,34.77548742,31.24767164
31239,,,,,,,,,178600.902,572975.591,34.77554541,31.2476442
31240,,,,,,,,,178620.558,572968.887,34.77575203,31.24758442
31241,,,,,,,,,178628.366,572972.015,34.77583386,31.24761291
31242,,,,,,,,,178644.774,572973.607,34.77600604,31.24762784
31243,,,,,,,,,178635.862,572973.143,34.77591251,31.24762334
31244,,,,,,,,,178661.91,572997.087,34.77618497,31.2478402
31245,,,,,,,,,178666.806,573002.287,34.77623616,31.24788727
31246,,,,,,,,,178675.158,573006.007,34.77632368,31.24792112
31247,,,,,,,,,178681.15,573009.783,34.77638643,31.24795538
31248,,,,,,,,,178703.822,573012.535,34.77662432,31.24798099
31249,,,,,,,,,178688.038,573037.647,34.7764576,31.24820692
31250,,,,,,,,,178669.886,573050.007,34.77626655,31.24831776
31251,,,,,,,,,178651.926,573051.855,34.77607793,31.2483338
31252,,,,,,,,,178502.766,572984.287,34.77451487,31.24771919
31253,,,,,,,,,178516.046,572994.495,34.77465386,31.24781172
31254,,,,,,,,,178512.35,573016.207,34.77461418,31.24800741
31255,,,,,,,,,178520.718,573026.223,34.77470161,31.24809803
31256,,,,,,,,,178515.878,572857.591,34.77465769,31.24657699
31257,,,,,,,,,178542.822,572851.935,34.77494076,31.24652692
31258,,,,,,,,,178578.638,572859.423,34.77531643,31.24659571
31259,,,,,,,,,178580.678,572852.135,34.77533814,31.24653005
31260,,,,,,,,,178601.918,572860.543,34.77556077,31.24660663
31261,,,,,,,,,178609.222,572847.047,34.77563799,31.24648516
31262,,,,,,,,,178578.646,572868.719,34.77531614,31.24667955
31263,,,,,,,,,178683.954,572844.074,34.7764226,31.24646096
31264,,,,,,,,,178685.266,572855.682,34.7764359,31.2465657
31265,,,,,,,,,178680.954,572894.354,34.77638907,31.24691433
31266,,,,,,,,,178676.053,572933.567,34.77633602,31.24726782
31267,,,,,,,,,178672.245,572937.583,34.77629588,31.2473039
31268,,,,,,,,,178669.485,572943.727,34.77626666,31.24735922
31269,,,,,,,,,178665.037,572941.775,34.77622005,31.24734146
31270,,,,,,,,,178669.413,572958.535,34.7762653,31.24749277
31271,,,,,,,,,178676.733,572959.367,34.77634211,31.24750053
31272,,,,,,,,,178690.789,572922.687,34.77649116,31.24717021
31273,,,,,,,,,178696.869,572914.391,34.77655532,31.2470956
31274,,,,,,,,,178698.069,572943.815,34.77656672,31.24736101
31275,,,,,,,,,178691.709,572962.495,34.7764992,31.24752926
31276,,,,,,,,,178630.213,572969.951,34.77585334,31.24759436
31277,,,,,,,,,178638.941,572963.799,34.77594521,31.24753918
31278,,,,,,,,,178642.653,572963.207,34.7759842,31.24753397
31279,,,,,,,,,178571.709,573031.503,34.77523668,31.24814744
31280,,,,,,,,,178578.749,573035.007,34.77531044,31.24817929
31281,,,,,,,,,178572.365,573037.391,34.77524332,31.24820057
31282,,,,,,,,,178593.781,573034.863,34.77546824,31.24817852
31283,,,,,,,,,178627.541,572998.663,34.77582412,31.24785321
31284,,,,,,,,,178632.341,573003.087,34.77587432,31.24789328
31285,,,,,,,,,178636.357,573010.447,34.77591618,31.2479598
31286,,,,,,,,,178632.933,573016.327,34.77588,31.24801271
31287,,,,,,,,,178628.397,573020.159,34.77583223,31.24804712
31288,,,,,,,,,178624.277,573019.383,34.77578901,31.24803997
31289,,,,,,,,,178619.429,573018.967,34.77573813,31.24803605
31290,,,,,,,,,178625.853,573014.487,34.77580575,31.24799587
31291,,,,,,,,,178621.717,573013.127,34.77576239,31.24798346
31292,,,,,,,,,178622.069,573025.671,34.77576557,31.24809661
31293,,,,,,,,,178627.733,573029.727,34.77582487,31.24813338
31294,,,,,,,,,178616.069,573038.687,34.77570206,31.24821379
31295,,,,,,,,,178615.733,573052.415,34.77569797,31.24833759
31296,,,,,,,,,178632.877,573068.959,34.77587727,31.24848739
31297,,,,,,,,,178593.533,573043.023,34.77546531,31.2482521
